1981-01-01
"Air temperature"	"Precipitation"
2.91	1.96
4.37	0.4
2.53	2.98
-0.57	4.72
-1.18	4.14
-2.74	1.42
0.17	0.96
3.89	1.82
2.62	5.06
0.62	0.64
2.41	8.18
-0.89	4.2
1.17	1.84
2.04	8.72
-1.89	2.52
-5.16	10.04
-4.34	2.62
-2.26	1.64
0.54	1.72
1.63	0.88
4.36	1.2
4.38	0.08
5.59	0
3.68	0.32
2.42	5.16
4.16	4.94
6.02	0.04
5.13	0.02
7.23	0
8.59	0
8.49	0
8.38	2.8
6.07	5.9
2.13	0.42
0.73	0.64
5.25	0.82
7.32	1.78
6.66	0.9
3.14	0.02
-0.55	0
-0.39	0
-0.37	0.6
2.08	0.08
4.71	0
3.37	0
2.44	0
1.00	0
0.57	0
0.89	0
-0.26	0.04
-0.11	0.2
-0.83	0.72
-0.37	1.54
-1.20	2.88
-1.28	0.16
-0.52	0.02
0.70	0.04
1.38	1.1
1.41	22.94
0.01	7.88
0.40	0.9
0.98	0.08
1.85	0
0.37	4.74
3.16	3.38
6.04	0.04
8.44	0.04
4.51	0.98
6.29	3.54
8.44	0.02
9.81	0.12
5.45	5.44
4.71	1.04
3.32	1.58
1.11	2.82
2.75	0.3
2.08	0.04
2.66	0.24
3.13	4.84
0.87	4.16
-0.54	0.36
0.49	2.08
3.83	9.08
8.37	2.16
7.16	0.18
5.35	4.88
7.39	2.86
6.04	0.02
7.94	0
6.14	0.06
5.35	0.68
6.81	0
5.49	0
7.08	0.46
6.60	0.02
4.39	0.04
5.38	0.4
6.63	0
8.98	0
10.08	0
6.00	2.78
6.45	0
4.59	0
4.32	0
6.65	0
6.94	0
6.64	0
4.02	0
5.92	0
6.16	0
6.27	0
2.26	0.96
0.51	4.8
0.16	0.88
2.72	0.46
1.52	0.04
3.27	1.72
7.07	0.06
11.72	0.54
5.50	2.88
2.89	0.26
2.89	2.9
5.34	9.6
3.59	0.42
2.31	0.82
6.99	0.18
9.38	5.3
11.89	0.16
12.22	0.54
8.21	0.36
12.86	0
13.77	0
12.95	0.24
9.89	0.02
8.28	0
7.63	3.22
9.07	0
10.49	3.14
11.61	0.02
9.37	5.32
11.61	0.9
11.23	0.24
10.56	0.52
10.50	3.02
8.50	7.84
10.58	1.86
9.97	0.02
11.03	1.26
10.11	0
13.09	0
13.42	6.52
13.41	0.74
11.16	8.78
12.46	0.02
12.04	0
12.62	0.52
11.54	1.12
10.51	3.06
10.17	1.2
10.31	29.36
9.00	1.2
6.74	2.6
8.28	1.62
12.75	0.74
15.10	0
12.44	0.28
10.32	2.08
9.99	0.1
9.51	0.5
10.69	0.34
11.74	0.04
13.04	0
14.37	0
13.69	0.18
11.46	1.78
9.35	0.64
8.51	2.02
7.56	0.12
8.42	0
9.10	0
13.88	0
12.25	0.6
10.64	4.32
9.85	2.38
11.77	0.18
12.62	0.44
13.03	0.48
14.82	0.02
15.96	0.06
15.16	1.92
13.79	2.1
11.67	9.82
12.31	0.08
12.20	0.92
12.79	0.02
13.86	4.04
11.44	5.62
10.85	1.5
12.43	0.36
12.52	0.32
14.96	0.42
12.03	16.54
11.31	15.18
10.83	1.64
10.56	0
11.05	1.18
16.69	0
16.60	0.08
15.76	2.8
14.58	0
12.84	0
11.33	0
11.32	0
11.81	1.58
15.30	0.1
15.56	0
16.56	0
14.20	0
14.60	0
13.74	2.42
12.51	0.12
13.25	0
18.11	1.02
17.32	1.36
15.80	0
14.33	0.18
11.68	3.48
11.06	0.06
9.88	1.2
13.48	0.2
11.37	9.5
10.38	0.3
12.67	0.16
11.93	0.02
12.19	0.4
16.50	0.06
15.42	0
14.44	0
17.59	0
16.11	0
14.73	0
14.54	0
10.49	0
11.46	0
10.66	0
12.17	0.18
15.93	0.72
16.80	0
10.87	0
13.91	0.5
14.62	0.02
10.53	0
14.31	6.92
13.27	1.7
9.98	4.72
8.58	0
9.82	5.96
13.06	0.18
10.94	10.6
13.66	8.98
13.42	0.28
11.04	31.9
10.53	2.74
11.00	0.04
10.60	0.42
8.56	0.44
10.56	0.42
9.26	2.04
6.55	46.28
9.28	1.38
11.94	0
11.45	0.34
10.93	0.22
7.55	32.36
5.96	33.14
7.06	17.4
7.61	1.42
4.70	7.82
6.01	2.78
3.51	0.58
5.59	11.9
7.42	2.32
5.64	1.36
5.77	0.44
3.13	12.98
2.92	0.12
1.08	0.02
3.50	0
4.36	0
3.08	0
3.96	1.12
6.97	0.08
3.46	4.78
4.55	9.6
4.39	0.4
2.88	1.66
4.19	2.46
1.33	0.1
1.44	0.04
3.12	0.02
4.41	3.06
3.62	0.04
4.29	2.54
4.80	0.06
6.04	3.16
7.34	0.42
8.86	0.12
7.19	0.04
5.76	0
0.23	0
1.47	0
4.20	0.36
7.75	6.28
9.74	0.34
9.05	0.5
4.81	0.86
4.16	1.32
5.70	0
5.36	0.24
2.31	0.02
3.41	0.32
2.50	0.02
3.91	7.68
3.71	1.46
6.99	4.68
8.41	1.62
4.05	4.26
-0.11	2.68
1.76	7.2
4.11	1.4
4.11	0.96
1.83	2.46
1.96	26.08
0.90	0.76
-1.53	0
3.39	0
6.65	5.9
2.72	0.14
1.56	0.52
0.67	1.32
-2.79	0.58
-3.26	6.92
-4.00	0.72
-4.86	0.04
-5.23	0
-5.46	0.04
-3.49	7.18
-1.67	13.48
-3.29	0
-8.79	0
-6.89	3.84
-5.60	0
-4.89	3.42
-0.84	4.04
0.51	2.5
-1.13	0.08
-4.48	1.96
-5.24	0.42
-5.08	0.22
-5.40	2.06
0.12	5.34
-0.94	1.12
-0.55	10.12
2.04	26.86
2.53	1.96
0.49	0
-1.20	21.06
-0.64	18.36
-0.90	12.88
-2.10	3.82
-8.22	0
-10.87	0
-11.17	3.66
-12.38	0
-11.81	0
-8.69	0
-6.20	0
-2.89	2.26
1.89	0
-2.03	0
-1.63	0
2.87	0
4.10	0.24
4.43	2.18
3.33	0.36
4.70	0.24
4.46	2.56
3.95	0.24
4.54	0.66
5.60	3.78
3.49	8.64
3.36	0.58
3.89	8
6.99	2.16
8.62	3.32
6.10	0.02
6.11	0.08
3.13	0
3.19	0
4.29	1.26
5.51	0.44
5.20	0.06
3.36	0.02
2.49	0.92
2.51	1.12
3.39	0.64
3.37	1.24
3.66	5.84
5.79	0.02
2.67	0
-1.12	0
0.70	0
-3.02	7.18
-0.25	6.92
1.56	0.34
0.14	0
1.28	0
2.53	0
2.05	0
1.91	0.08
3.59	2.86
4.15	0.12
5.67	0
6.97	4.24
3.54	0.3
3.77	7.22
3.03	3.28
4.29	0.08
2.53	0.32
4.20	0.46
2.10	0.64
3.42	0.4
2.99	3.1
4.28	0.82
0.92	18.62
0.53	4.6
1.89	0.28
3.82	0.6
2.77	0.44
1.62	1.9
2.43	5.28
3.38	1.32
1.88	2.22
3.26	2.72
3.50	0.12
4.60	0.32
4.36	0.02
9.60	0
10.83	0
7.67	0
5.49	0
6.85	1.22
3.19	2.18
5.05	0
5.43	0
6.25	0.02
6.09	0
7.16	0.04
8.12	5.06
8.18	0.32
5.74	3.22
3.36	17.82
0.47	1.32
2.12	3.92
2.42	0.36
2.00	0.18
3.22	0.18
6.40	0.02
7.99	0
9.07	0.38
8.44	0
5.88	0
6.14	0
6.40	0
6.64	0
8.02	0
10.25	0
6.90	0
12.17	0
9.63	0
10.86	0
7.31	0.2
8.89	3.56
4.93	0.52
5.81	0.92
3.21	2.98
1.43	5.84
3.55	4.9
3.22	1.34
4.12	4.94
2.92	0.04
3.20	0
4.95	0
5.80	0
7.22	0
8.32	0
8.11	0
8.41	0
12.87	0
9.41	2.84
9.94	0
9.33	0.9
10.68	8
9.48	0.1
8.12	3.22
7.37	4.26
10.95	1.8
10.03	8.18
10.82	0.34
12.05	0.04
9.63	0.66
8.99	1.16
10.93	0.14
14.23	0
14.41	0
12.41	0
16.96	5.08
17.32	0.46
16.70	0
17.94	0
18.60	0.06
13.41	0
15.25	0.32
15.35	0
11.50	0
11.65	0.02
9.77	5.6
8.52	0.68
8.08	0.2
7.70	0.02
8.46	2.5
9.67	0.12
6.99	0
8.88	0
8.88	0
9.79	0.12
8.32	0.56
7.26	0
8.82	0
10.37	0
7.02	1.06
8.31	3.24
10.59	1.62
11.85	11.8
12.14	1.12
11.87	0.88
14.06	0.02
12.40	0
12.46	5.14
12.30	2.64
12.95	0.42
13.15	0
15.37	0
12.92	0.18
17.21	4.14
11.78	0.92
13.14	0.02
12.34	0
14.53	0
14.52	24.32
11.06	6.98
12.08	1.38
14.09	0
15.13	0
15.90	0
17.41	0
16.76	0
13.90	0
15.61	0
13.84	1.36
15.13	0
13.78	0
14.18	0
15.15	0
15.98	0
15.12	0
14.84	0
16.11	0
16.44	0
18.80	0
17.47	0
18.52	2.16
16.04	15.34
16.16	2.42
16.97	0.02
12.37	0.06
12.19	0.16
14.17	0.24
13.31	0.1
11.11	0.2
10.86	0.34
9.31	1.5
13.12	0.02
12.64	25.76
11.79	0.3
10.25	2.52
9.37	5.72
11.53	2.16
11.68	0.48
11.12	3.08
12.20	5.48
11.53	0.14
10.38	0.2
10.53	0.06
8.96	0.36
12.97	5
11.72	2.32
10.36	0
10.86	0
12.06	0.36
13.77	0.34
